		1996		1997		1998		1999		2000		2001		2002		2003		2004		2005		2006		2007		2008		2009		2010		2011		2012		2013		2014		2015	
21-Sep	78	0.0	89.0	0.0	82.0	0.0	79.0	3.7	77.0	0.0	86.0	0.0	84.0	0.0	82.0	0.0	75.0	0.0	90.0	0.0	75.0	2.1	78.0	0.0	75.0	0.0	79.0	0.0	95.0	0.0	86.0	0.0	85.0	0.0	73.0	0.7	87.0	0.0	77.0	0.0	9.0
22-Sep	81	0.0	70.0	3.7	88.0	0.0	72.0	7.1	73.0	3.0	87.0	0.0	77.0	0.0	75.0	0.0	80.0	0.0	86.0	0.0	82.0	0.0	86.0	0.0	84.0	0.0	84.0	0.0	92.0	0.0	80.0	0.0	87.0	0.0	82.0	0.0	82.0	0.0	76.0	0.0	9.0
23-Sep	84	0.0	80.0	0.0	84.0	0.0	75.0	7.4	81.0	0.0	88.0	0.0	82.0	0.0	81.0	0.0	84.0	0.0	87.0	0.0	86.0	0.0	83.0	0.0	82.0	0.0	83.0	0.0	91.0	0.0	83.0	0.0	81.0	0.0	82.0	0.0	77.0	0.0	81.0	0.0	9.0
24-Sep	84	0.0	82.0	0.0	81.0	0.0	78.0	4.8	84.0	0.0	69.0	4.6	73.0	2.6	80.0	0.0	82.0	0.0	88.0	0.0	84.0	0.0	89.0	0.0	78.0	0.0	85.0	0.0	88.0	0.0	82.0	0.0	78.0	0.0	71.0	2.7	78.0	0.0	74.0	1.3	9.0
25-Sep	87	0.0	66.0	7.7	82.0	0.0	81.0	0.0	82.0	0.0	66.0	12.1	69.0	9.2	82.0	0.0	81.0	0.0	85.0	0.0	75.0	0.0	87.0	0.0	82.0	0.0	87.0	0.0	93.0	0.0	88.0	0.0	82.0	0.0	67.0	9.3	77.0	0.0	67.0	9.6	9.0
26-Sep	84	0.0	70.0	11.3	84.0	0.0	82.0	0.0	68.0	8.0	72.0	13.7	75.0	9.8	82.0	0.0	79.0	0.0	77.0	0.0	78.0	0.0	84.0	0.0	80.0	0.0	85.0	0.0	76.0	3.2	86.0	0.0	86.0	0.0	78.0	5.0	74.0	1.9	71.0	13.9	9.0
27-Sep	79	0.0	64.0	21.0	87.0	0.0	78.0	0.0	71.0	13.1	75.0	12.2	75.0	10.3	82.0	0.0	72.0	1.8	86.0	0.0	79.0	0.0	85.0	0.0	77.0	0.0	80.0	0.0	81.0	1.4	84.0	0.0	88.0	0.0	79.0	0.0	78.0	0.0	71.0	18.2	9.0
28-Sep	75	0.7	68.0	26.7	80.0	0.0	80.0	0.0	75.0	14.1	78.0	7.8	79.0	6.9	73.0	0.5	78.0	0.0	85.0	0.0	81.0	0.0	85.0	0.0	86.0	0.0	83.0	0.0	76.0	4.6	79.0	0.0	86.0	0.0	77.0	0.0	74.0	1.9	75.0	18.5	9.0
29-Sep	72	4.4	77.0	23.4	75.0	1.3	77.0	0.0	73.0	17.1	71.0	10.3	73.0	9.5	66.0	8.0	78.0	0.0	85.0	0.0	70.0	5.0	81.0	0.0	86.0	0.0	72.0	1.0	79.0	4.8	84.0	0.0	84.0	0.0	76.0	0.0	71.0	6.9	77.0	16.8	9.0
30-Sep	64	16.1	86.0	11.0	75.0	2.5	71.0	4.4	75.0	18.2	71.0	12.9	79.0	6.1	71.0	10.4	80.0	0.0	82.0	0.0	75.0	5.1	79.0	0.0	86.0	0.0	74.0	0.0	76.0	8.1	78.0	0.0	72.0	4.7	77.0	0.0	84.0	0.0	85.0	7.1	9.0
1-Oct	66	25.9	75.0	9.7	86.0	0.0	73.0	6.7	77.0	17.2	75.0	11.4	82.0	0.0	72.0	11.9	82.0	0.0	83.0	0.0	83.0	0.0	80.0	0.0	74.0	0.5	76.0	0.0	79.0	8.3	65.0	12.3	75.0	6.3	82.0	0.0	86.0	0.0	71.0	11.4	9.0
2-Oct	72	29.6	73.0	10.4	78.0	0.0	75.0	7.1	79.0	14.2	80.0	5.0	84.0	0.0	68.0	17.4	82.0	0.0	85.0	0.0	81.0	0.0	82.0	0.0	74.0	1.0	75.0	0.0	78.0	9.5	68.0	21.6	72.0	11.0	82.0	0.0	85.0	0.0	66.0	20.7	9.0
3-Oct	84	21.3	75.0	9.1	77.0	0.0	84.0	0.0	82.0	8.3	81.0	0.0	84.0	0.0	66.0	24.9	80.0	0.0	83.0	0.0	82.0	0.0	77.0	0.4	80.0	0.0	76.0	0.0	68.0	20.7	75.0	23.8	74.0	13.6	82.0	0.0	78.0	0.0	66.0	30.0	9.0
4-Oct	70	27.0	78.0	4.7	82.0	0.0	71.0	4.4	81.0	3.3	80.0	0.0	82.0	0.0	77.0	21.4	81.0	0.0	85.0	0.0	84.0	0.0	80.0	0.0	83.0	0.0	74.0	0.0	67.0	32.9	80.0	21.1	82.0	8.3	85.0	0.0	65.0	10.9	70.0	35.3	9.0
5-Oct	66	36.7	81.0	0.0	82.0	0.0	73.0	6.7	82.0	0.0	79.0	0.0	87.0	0.0	78.0	16.8	80.0	0.0	81.0	0.0	86.0	0.0	81.0	0.0	83.0	0.0	62.0	11.0	70.0	42.1	83.0	15.4	82.0	2.9	84.0	0.0	71.0	15.9	73.0	37.6	9.0
6-Oct	64	48.4	82.0	0.0	73.0	3.3	71.0	11.1	73.0	3.0	70.0	3.6	86.0	0.0	75.0	15.3	75.0	0.0	72.0	3.4	76.0	0.0	82.0	0.0	82.0	0.0	71.0	13.0	73.0	48.3	81.0	11.7	83.0	0.0	84.0	0.0	78.0	13.8	76.0	36.9	9.0
7-Oct	60	64.2	82.0	0.0	82.0	0.0	73.0	13.4	66.0	13.1	68.0	9.1	80.0	0.0	73.0	15.8	75.0	0.0	72.0	6.7	72.0	3.0	83.0	0.0	82.0	0.0	79.0	7.0	81.0	46.5	79.0	9.9	68.0	8.7	74.0	0.0	82.0	7.8	81.0	31.2	9.0
8-Oct	78	61.9	82.0	0.0	69.0	7.3	73.0	15.8	55.0	34.1	79.0	3.7	71.0	4.6	73.0	16.3	73.0	0.8	73.0	9.1	72.0	6.1	83.0	0.0	72.0	2.5	80.0	0.0	82.0	43.7	78.0	9.2	63.0	22.3	72.0	1.7	86.0	0.0	82.0	24.5	9.0
9-Oct	70	67.6	80.0	0.0	72.0	11.5	72.0	19.1	55.0	55.1	66.0	11.2	66.0	14.2	73.0	16.8	71.0	3.5	70.0	14.4	79.0	2.1	81.0	0.0	75.0	2.0	85.0	0.0	85.0	38.0	72.0	14.5	70.0	29.0	76.0	0.0	86.0	0.0	81.0	18.8	9.0
10-Oct	72	71.3	82.0	0.0	73.0	14.8	72.0	22.5	64.0	67.2	73.0	11.8	70.0	19.8	73.0	17.2	71.0	6.3	77.0	12.8	80.0	0.0	81.0	0.0	77.0	0.0	74.0	0.0	86.0	31.2	68.0	23.8	73.0	32.6	80.0	0.0	86.0	0.0	71.0	23.1	9.0
11-Oct	69	78.0	82.0	0.0	78.0	13.0	73.0	24.9	71.0	72.2	75.0	10.3	78.0	17.3	66.0	24.7	77.0	3.1	82.0	6.1	80.0	0.0	67.0	10.4	78.0	0.0	77.0	0.0	86.0	24.4	65.0	36.0	75.0	34.3	79.0	0.0	86.0	0.0	73.0	25.4	9.0
12-Oct	69	84.7	79.0	0.0	78.0	11.3	70.0	30.2	73.0	75.2	78.0	5.9	84.0	8.9	78.0	20.2	73.0	3.8	74.0	7.5	71.0	4.0	72.0	15.8	77.0	0.0	66.0	7.0	80.0	23.6	73.0	40.3	79.0	31.9	81.0	0.0	85.0	0.0	76.0	24.7	9.0
13-Oct	73	87.4	80.0	0.0	78.0	9.6	64.0	41.6	75.0	76.3	78.0	1.4	79.0	5.5	78.0	15.7	64.0	13.6	77.0	5.9	62.0	17.1	74.0	19.2	77.0	0.0	73.0	7.0	80.0	22.8	74.0	43.6	75.0	33.6	82.0	0.0	85.0	0.0	81.0	19.0	9.0
14-Oct	79	84.2	68.0	5.7	75.0	10.8	75.0	41.9	75.0	77.3	75.0	0.0	68.0	13.1	78.0	11.2	63.0	24.3	78.0	3.2	69.0	23.1	78.0	18.6	80.0	0.0	66.0	14.0	73.0	29.0	77.0	43.9	77.0	33.2	77.0	0.0	75.0	0.9	78.0	16.3	9.0
15-Oct	81	78.9	63.0	16.3	79.0	8.1	73.0	44.3	77.0	76.3	75.0	0.0	57.0	31.7	69.0	15.6	62.0	36.1	79.0	0.0	70.0	28.2	78.0	18.0	81.0	0.0	61.0	26.0	78.0	30.2	80.0	41.1	77.0	32.9	68.0	5.7	69.0	7.9	81.0	10.6	9.0
16-Oct	80	74.6	57.0	33.0	78.0	6.3	77.0	42.7	80.0	72.4	62.0	11.6	66.0	41.3	72.0	17.1	71.0	38.9	76.0	0.0	59.0	44.2	76.0	19.4	83.0	0.0	61.0	38.0	76.0	33.4	84.0	34.4	74.0	35.5	74.0	5.3	70.0	13.8	77.0	8.9	9.0
17-Oct	82	68.3	66.0	40.7	77.0	5.6	80.0	38.0	80.0	68.4	60.0	25.1	64.0	52.9	68.0	22.6	75.0	37.6	75.0	0.4	71.0	48.3	82.0	14.8	69.0	5.5	51.0	60.0	80.0	32.7	85.0	26.7	75.0	37.2	72.0	7.0	80.0	9.8	70.0	14.2	9.0
18-Oct	66	78.0	64.0	50.4	78.0	3.9	71.0	42.4	80.0	64.4	64.0	34.7	68.0	60.4	70.0	26.1	73.0	38.4	81.0	0.0	77.0	46.3	77.0	15.2	67.0	13.0	55.0	77.9	78.0	33.9	80.0	24.0	74.0	39.8	73.0	7.7	76.0	9.7	66.0	23.5	9.0
19-Oct	63	90.7	69.0	55.0	82.0	0.0	66.0	51.7	73.0	67.5	71.0	37.2	71.0	65.0	75.0	24.6	68.0	44.2	83.0	0.0	76.0	45.4	76.0	16.6	65.0	22.5	61.0	89.9	82.0	31.1	67.0	34.3	73.0	43.5	63.0	18.3	73.0	12.7	64.0	34.8	9.0
20-Oct	68	98.5	70.0	58.7	75.0	1.3	60.0	67.1	73.0	70.5	75.0	35.8	73.0	67.6	78.0	20.0	71.0	46.9	83.0	0.0	69.0	51.4	75.0	19.0	66.0	31.0	68.0	94.9	77.0	33.3	59.0	52.5	71.0	49.1	70.0	22.0	73.0	15.6	71.0	39.1	9.0
21-Oct	79	95.2	70.0	62.4	73.0	4.5	64.0	78.4	75.0	71.5	79.0	30.3	71.0	72.2	84.0	9.5	73.0	47.7	80.0	0.0	69.0	57.5	78.0	18.4	72.0	33.6	71.0	96.9	80.0	32.5	63.0	66.8	76.0	49.8	72.0	23.7	77.0	14.5	76.0	38.4	9.0
22-Oct	81	89.9	62.0	74.1	63.0	17.8	73.0	80.8	79.0	68.6	80.0	23.9	64.0	83.8	78.0	5.0	73.0	48.5	67.0	8.4	70.0	62.5	72.0	23.8	68.0	40.1	74.0	95.9	78.0	33.7	68.0	76.1	79.0	47.4	69.0	28.3	70.0	20.5	79.0	34.7	9.0
23-Oct	69	96.6	63.0	84.7	63.0	31.0	57.0	99.2	75.0	69.6	81.0	16.4	59.0	100.4	78.0	0.5	70.0	52.2	70.0	13.7	53.0	84.6	81.0	20.2	62.0	52.6	72.0	96.9	76.0	36.9	70.0	83.4	78.0	46.1	63.0	39.0	72.0	24.4	81.0	29.0	9.0
24-Oct	73	99.3	62.0	96.4	72.0	35.3	59.0	115.5	75.0	70.6	79.0	11.0	68.0	108.0	73.0	1.0	73.0	53.0	56.0	33.1	56.0	103.6	59.0	38.6	54.0	73.1	69.0	100.9	81.0	35.1	73.0	87.6	79.0	43.7	66.0	46.7	74.0	26.4	76.0	28.3	9.0
25-Oct	73	102.0	75.0	95.1	75.0	36.6	64.0	126.9	78.0	68.7	73.0	11.5	60.0	123.5	73.0	1.4	78.0	48.8	54.0	54.4	55.0	123.7	61.0	55.0	67.0	80.6	65.0	108.9	76.0	38.3	76.0	88.9	80.0	40.4	56.0	64.3	77.0	25.3	71.0	32.6	9.0
26-Oct	75	102.7	71.0	97.8	79.0	33.8	69.0	133.2	75.0	69.7	64.0	21.1	68.0	131.1	68.0	6.9	79.0	43.5	61.0	68.8	62.0	136.7	68.0	64.4	70.0	85.1	65.0	116.9	85.0	32.6	77.0	89.2	80.0	37.0	61.0	77.0	84.0	17.3	67.0	40.9	9.0
27-Oct	75	103.5	57.0	114.4	79.0	31.1	75.0	133.6	78.0	67.7	51.0	43.6	69.0	137.7	64.0	16.4	81.0	36.3	63.0	81.1	66.0	145.8	67.0	74.8	59.0	100.6	60.0	129.9	76.0	35.8	79.0	87.5	70.0	43.7	69.0	81.7	84.0	9.2	56.0	60.2	9.0
28-Oct	81	98.2	55.0	133.1	79.0	28.3	73.0	135.9	80.0	63.7	55.0	62.2	75.0	138.3	57.0	32.9	78.0	32.0	62.0	94.5	63.0	157.8	70.0	82.2	50.0	125.1	71.0	131.9	74.0	41.0	74.0	90.7	56.0	64.3	64.0	91.3	77.0	8.1	78.0	57.5	9.0
29-Oct	82	91.9	64.0	142.8	78.0	26.6	72.0	139.3	75.0	64.8	63.0	72.7	75.0	138.9	70.0	36.3	75.0	30.8	64.0	105.9	72.0	160.9	62.0	97.6	59.0	140.7	75.0	129.9	68.0	52.2	59.0	109.0	56.0	85.0	75.0	90.0	73.0	11.1	70.0	62.8	9.0
30-Oct	82	85.6	66.0	150.5	82.0	20.9	75.0	139.7	77.0	63.8	72.0	74.3	68.0	146.5	77.0	32.8	78.0	26.6	69.0	112.2	73.0	162.9	67.0	108.0	65.0	150.2	66.0	136.8	71.0	60.4	61.0	125.3	56.0	105.6	78.0	85.7	68.0	19.0	70.0	68.1	9.0
31-Oct	81	80.3	60.0	164.1	79.0	18.1	75.0	140.0	78.0	61.8	71.0	76.8	60.0	162.0	75.0	31.3	82.0	18.3	70.0	117.6	68.0	170.0	71.0	114.4	67.0	157.7	69.0	140.8	75.0	64.6	65.0	137.6	65.0	117.3	74.0	85.3	63.0	32.0	62.0	81.4	9.0
																																									
																																									
																																									
																																									
																																									
																																									
C=	3	8.0																																							
T=	7	9.0																																							
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
